"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Fri Sep 06 12:48:11 IST 2024","Fri Sep 06 12:48:16 IST 2024","4914","","Adroid Mobile Automation Element test","","","","Verify that whether Tab isenable,isDispalyed & isSelected.",""
"broken","Fri Sep 06 12:47:43 IST 2024","Fri Sep 06 12:47:48 IST 2024","5401","","Adroid Mobile Automation Element test","","","","Verify that the text entry dilog username & password fields are editable.",""
"failed","Fri Sep 06 12:47:33 IST 2024","Fri Sep 06 12:47:35 IST 2024","2471","","Adroid Mobile Automation Element test","","","","Find Elements by xpath",""
"broken","Fri Sep 06 12:47:36 IST 2024","Fri Sep 06 12:47:42 IST 2024","6489","","Adroid Mobile Automation Element test","","","","Verify after click on View, On next page scroll down by given dimension.",""
"broken","Fri Sep 06 12:47:54 IST 2024","Fri Sep 06 12:48:05 IST 2024","10169","","Adroid Mobile Automation Element test","","","","Verify timeout.",""
"failed","Fri Sep 06 12:47:29 IST 2024","Fri Sep 06 12:47:30 IST 2024","410","","Adroid Mobile Automation Element test","","","","Find Element By ClassName",""
"broken","Fri Sep 06 12:48:05 IST 2024","Fri Sep 06 12:48:10 IST 2024","5405","","Adroid Mobile Automation Element test","","","","Verify the repeat alart option has attribute checked set to true ,when selected..",""
"passed","Fri Sep 06 13:02:43 IST 2024","Fri Sep 06 13:02:49 IST 2024","6398","","Visual Regression Test","","","","should navigate to the home screen and capture a screenshot",""
"broken","Fri Sep 06 12:47:49 IST 2024","Fri Sep 06 12:47:54 IST 2024","5385","","Adroid Mobile Automation Element test","","","","Verify that the app adjust ,when orientation is switched.",""
"passed","Fri Sep 06 12:47:31 IST 2024","Fri Sep 06 12:47:33 IST 2024","1730","","Adroid Mobile Automation Element test","","","","Find element by accessibility ID",""
